Year,Event,Country,SubRegion,NumberOfParticipants,RankByYear
1900,Summer,France,Western Europe,720,1
1900,Summer,Great Britain,Northern Europe,104,2
1900,Summer,Germany,Western Europe,76,3
1900,Summer,United States,North America,75,4
1900,Summer,Belgium,Western Europe,64,5
1900,Summer,Netherlands,Western Europe,35,6
1900,Summer,Italy,Southern Europe,23,7
1900,Summer,Hungary,Eastern Europe,18,8
1900,Summer,Switzerland,Western Europe,18,9
1900,Summer,Austria,Western Europe,16,10
1900,Summer,Denmark,Northern Europe,13,11
1900,Summer,Sweden,Northern Europe,10,12
1900,Summer,Spain,Southern Europe,9,13
1900,Summer,Bohemia,Central Europe,7,14
1900,Summer,Norway,Northern Europe,7,15
1904,Summer,France,Western Europe,721,1
1904,Summer,United States,North America,601,2
1904,Summer,Great Britain,Northern Europe,110,3
1904,Summer,Germany,Western Europe,98,4
1904,Summer,Canada,North America,60,5
1904,Summer,Italy,Southern Europe,24,6
1904,Summer,Hungary,Eastern Europe,22,7
1904,Summer,Switzerland,Western Europe,20,8
1904,Summer,Austria,Western Europe,18,9
1904,Summer,Greece,Southern Europe,17,10
1904,Summer,Norway,Northern Europe,9,11
1904,Summer,South Africa,Southern Africa,8,12
1904,Summer,Australia,Australia and New Zealand,4,13
1904,Summer,Cuba,Caribbean,4,14
1904,Summer,Newfoundland,North America,1,15
1906,Summer,France,Western Europe,777,1
1906,Summer,United States,North America,639,2
1906,Summer,Greece,Southern Europe,329,3
1906,Summer,Great Britain,Northern Europe,158,4
1906,Summer,Germany,Western Europe,147,5
1906,Summer,Italy,Southern Europe,100,6
1906,Summer,Belgium,Western Europe,80,7
1906,Summer,Canada,North America,63,8
1906,Summer,Denmark,Northern Europe,62,9
1906,Summer,Hungary,Eastern Europe,57,10
1906,Summer,Netherlands,Western Europe,51,11
1906,Summer,Austria,Western Europe,49,12
1906,Summer,Sweden,Northern Europe,49,13
1906,Summer,Norway,Northern Europe,41,14
1906,Summer,Switzerland,Western Europe,29,15
1908,Summer,France,Western Europe,985,1
1908,Summer,Great Britain,Northern Europe,893,2
1908,Summer,United States,North America,761,3
1908,Summer,Greece,Southern Europe,349,4
1908,Summer,Germany,Western Europe,229,5
1908,Summer,Sweden,Northern Europe,217,6
1908,Summer,Belgium,Western Europe,169,7
1908,Summer,Italy,Southern Europe,166,8
1908,Summer,Netherlands,Western Europe,164,9
1908,Summer,Canada,North America,150,10
1908,Summer,Denmark,Northern Europe,140,11
1908,Summer,Hungary,Eastern Europe,122,12
1908,Summer,Norway,Northern Europe,110,13
1908,Summer,Finland,Northern Europe,66,14
1908,Summer,Austria,Western Europe,56,15
1912,Summer,Great Britain,Northern Europe,1167,1
1912,Summer,France,Western Europe,1104,2
1912,Summer,United States,North America,935,3
1912,Summer,Sweden,Northern Europe,661,4
1912,Summer,Germany,Western Europe,414,5
1912,Summer,Greece,Southern Europe,371,6
1912,Summer,Norway,Northern Europe,300,7
1912,Summer,Denmark,Northern Europe,292,8
1912,Summer,Hungary,Eastern Europe,243,9
1912,Summer,Italy,Southern Europe,232,10
1912,Summer,Finland,Northern Europe,230,11
1912,Summer,Belgium,Western Europe,205,12
1912,Summer,Netherlands,Western Europe,197,13
1912,Summer,Canada,North America,187,14
1912,Summer,Russia,Eastern Europe,169,15
1920,Summer,France,Western Europe,1408,1
1920,Summer,Great Britain,Northern Europe,1401,2
1920,Summer,United States,North America,1223,3
1920,Summer,Sweden,Northern Europe,921,4
1920,Summer,Belgium,Western Europe,541,5
1920,Summer,Norway,Northern Europe,494,6
1920,Summer,Denmark,Northern Europe,446,7
1920,Summer,Greece,Southern Europe,418,8
1920,Summer,Italy,Southern Europe,406,9
1920,Summer,Netherlands,Western Europe,327,10
1920,Summer,Finland,Northern Europe,293,11
1920,Summer,Canada,North America,239,12
1920,Summer,Czechoslovakia,Central Europe,119,13
1920,Summer,Switzerland,Western Europe,114,14
1920,Summer,South Africa,Southern Africa,82,15
1924,Summer,France,Western Europe,1809,1
1924,Summer,Great Britain,Northern Europe,1668,2
1924,Summer,United States,North America,1522,3
1924,Summer,Sweden,Northern Europe,1080,4
1924,Summer,Belgium,Western Europe,713,5
1924,Summer,Italy,Southern Europe,606,6
1924,Summer,Norway,Northern Europe,556,7
1924,Summer,Denmark,Northern Europe,535,8
1924,Summer,Netherlands,Western Europe,504,9
1924,Summer,Greece,Southern Europe,457,10
1924,Summer,Finland,Northern Europe,414,11
1924,Summer,Hungary,Eastern Europe,332,12
1924,Summer,Canada,North America,304,13
1924,Summer,Switzerland,Western Europe,255,14
1924,Summer,Czechoslovakia,Central Europe,252,15
1928,Summer,France,Western Europe,2065,1
1928,Summer,Great Britain,Northern Europe,1900,2
1928,Summer,United States,North America,1802,3
1928,Summer,Sweden,Northern Europe,1180,4
1928,Summer,Belgium,Western Europe,900,5
1928,Summer,Italy,Southern Europe,780,6
1928,Summer,Netherlands,Western Europe,770,7
1928,Summer,Germany,Western Europe,709,8
1928,Summer,Denmark,Northern Europe,626,9
1928,Summer,Norway,Northern Europe,608,10
1928,Summer,Finland,Northern Europe,483,11
1928,Summer,Greece,Southern Europe,480,12
1928,Summer,Hungary,Eastern Europe,441,13
1928,Summer,Switzerland,Western Europe,388,14
1928,Summer,Canada,North America,373,15
1932,Summer,United States,North America,2276,1
1932,Summer,France,Western Europe,2168,2
1932,Summer,Great Britain,Northern Europe,2008,3
1932,Summer,Sweden,Northern Europe,1261,4
1932,Summer,Belgium,Western Europe,936,5
1932,Summer,Italy,Southern Europe,892,6
1932,Summer,Germany,Western Europe,853,7
1932,Summer,Netherlands,Western Europe,815,8
1932,Summer,Denmark,Northern Europe,669,9
1932,Summer,Norway,Northern Europe,615,10
1932,Summer,Finland,Northern Europe,523,11
1932,Summer,Hungary,Eastern Europe,499,12
1932,Summer,Greece,Southern Europe,490,13
