Year,Sport,Gender,Value
1900,Athletics,Female,0
1900,Athletics,Male,78
1900,Cycling,Female,0
1900,Cycling,Male,12
1900,Fencing,Female,0
1900,Fencing,Male,26
1900,Football,Female,0
1900,Football,Male,13
1900,Gymnastics,Female,0
1900,Gymnastics,Male,21
1900,Rowing,Female,0
1900,Rowing,Male,49
1900,Sailing,Female,0
1900,Sailing,Male,20
1900,Shooting,Female,0
1900,Shooting,Male,8
1900,Swimming,Female,0
1900,Swimming,Male,14
1900,Tennis,Female,3
1900,Tennis,Male,7
1900,Water Polo,Female,0
1900,Water Polo,Male,5
1904,Athletics,Female,0
1904,Athletics,Male,94
1904,Boxing,Female,0
1904,Boxing,Male,17
1904,Cycling,Female,0
1904,Cycling,Male,18
1904,Diving,Female,0
1904,Diving,Male,3
1904,Fencing,Female,0
1904,Fencing,Male,9
1904,Football,Female,0
1904,Football,Male,35
1904,Gymnastics,Female,0
1904,Gymnastics,Male,117
1904,Rowing,Female,0
1904,Rowing,Male,44
1904,Swimming,Female,0
1904,Swimming,Male,17
1904,Tennis,Female,0
1904,Tennis,Male,33
1904,Water Polo,Female,0
1904,Water Polo,Male,7
1904,Weightlifting,Female,0
1904,Weightlifting,Male,2
1904,Wrestling,Female,0
1904,Wrestling,Male,37
1906,Athletics,Female,0
1906,Athletics,Male,92
1906,Cycling,Female,0
1906,Cycling,Male,17
1906,Diving,Female,0
1906,Diving,Male,15
1906,Fencing,Female,0
1906,Fencing,Male,32
1906,Football,Female,0
1906,Football,Male,7
1906,Gymnastics,Female,0
1906,Gymnastics,Male,36
1906,Rowing,Female,0
1906,Rowing,Male,32
1906,Shooting,Female,0
1906,Shooting,Male,17
1906,Swimming,Female,0
1906,Swimming,Male,24
1906,Tennis,Female,0
1906,Tennis,Male,6
1906,Weightlifting,Female,0
1906,Weightlifting,Male,1
1906,Wrestling,Female,0
1906,Wrestling,Male,3
1908,Athletics,Female,0
1908,Athletics,Male,326
1908,Boxing,Female,0
1908,Boxing,Male,31
1908,Cycling,Female,0
1908,Cycling,Male,63
1908,Diving,Female,0
1908,Diving,Male,30
1908,Fencing,Female,0
1908,Fencing,Male,71
1908,Figure Skating,Female,7
1908,Figure Skating,Male,13
1908,Football,Female,0
1908,Football,Male,37
1908,Gymnastics,Female,0
1908,Gymnastics,Male,172
1908,Hockey,Female,0
1908,Hockey,Male,55
1908,Rowing,Female,0
1908,Rowing,Male,62
1908,Sailing,Female,1
1908,Sailing,Male,52
1908,Shooting,Female,0
1908,Shooting,Male,144
1908,Swimming,Female,0
1908,Swimming,Male,63
1908,Tennis,Female,10
1908,Tennis,Male,27
1908,Water Polo,Female,0
1908,Water Polo,Male,10
1908,Wrestling,Female,0
1908,Wrestling,Male,86
1912,Art Competitions,Female,0
1912,Art Competitions,Male,12
1912,Athletics,Female,0
1912,Athletics,Male,390
1912,Cycling,Female,0
1912,Cycling,Male,75
1912,Diving,Female,12
1912,Diving,Male,33
1912,Fencing,Female,0
1912,Fencing,Male,122
1912,Football,Female,0
1912,Football,Male,108
1912,Gymnastics,Female,0
1912,Gymnastics,Male,103
1912,Rowing,Female,0
1912,Rowing,Male,99
1912,Sailing,Female,0
1912,Sailing,Male,57
1912,Shooting,Female,0
1912,Shooting,Male,173
1912,Swimming,Female,15
1912,Swimming,Male,55
1912,Tennis,Female,10
1912,Tennis,Male,31
1912,Water Polo,Female,0
1912,Water Polo,Male,12
1912,Wrestling,Female,0
1912,Wrestling,Male,92
1920,Art Competitions,Female,0
1920,Art Competitions,Male,3
1920,Athletics,Female,0
1920,Athletics,Male,270
1920,Boxing,Female,0
1920,Boxing,Male,53
1920,Cycling,Female,0
1920,Cycling,Male,55
1920,Diving,Female,13
1920,Diving,Male,19
1920,Fencing,Female,0
1920,Fencing,Male,69
1920,Figure Skating,Female,6
1920,Figure Skating,Male,6
1920,Football,Female,0
1920,Football,Male,74
1920,Gymnastics,Female,0
1920,Gymnastics,Male,82
1920,Hockey,Female,0
1920,Hockey,Male,14
1920,Ice Hockey,Female,0
1920,Ice Hockey,Male,30
1920,Rowing,Female,0
1920,Rowing,Male,54
1920,Sailing,Female,1
1920,Sailing,Male,24
1920,Shooting,Female,0
1920,Shooting,Male,104
1920,Swimming,Female,17
1920,Swimming,Male,47
1920,Tennis,Female,8
1920,Tennis,Male,19
1920,Water Polo,Female,0
1920,Water Polo,Male,46
1920,Weightlifting,Female,0
1920,Weightlifting,Male,18
1920,Wrestling,Female,0
1920,Wrestling,Male,59
1924,Art Competitions,Female,6
1924,Art Competitions,Male,39
1924,Athletics,Female,0
1924,Athletics,Male,337
1924,Bobsleigh,Female,0
1924,Bobsleigh,Male,18
1924,Boxing,Female,0
1924,Boxing,Male,87
1924,Cross Country Skiing,Female,0
1924,Cross Country Skiing,Male,14
1924,Cycling,Female,0
1924,Cycling,Male,58
1924,Diving,Female,14
1924,Diving,Male,23
1924,Fencing,Female,14
1924,Fencing,Male,98
1924,Figure Skating,Female,6
1924,Figure Skating,Male,6
1924,Football,Female,0
1924,Football,Male,96
1924,Gymnastics,Female,0
1924,Gymnastics,Male,24
1924,Ice Hockey,Female,0
1924,Ice Hockey,Male,38
1924,Rowing,Female,0
1924,Rowing,Male,122
1924,Sailing,Female,0
1924,Sailing,Male,21
1924,Shooting,Female,0
1924,Shooting,Male,108
1924,Ski Jumping,Female,0
1924,Ski Jumping,Male,5
1924,Speed Skating,Female,0
1924,Speed Skating,Male,14
1924,Swimming,Female,30
1924,Swimming,Male,68
1924,Tennis,Female,19
1924,Tennis,Male,33
1924,Water Polo,Female,0
1924,Water Polo,Male,48
1924,Weightlifting,Female,0
1924,Weightlifting,Male,33
1924,Wrestling,Female,0
1924,Wrestling,Male,91
1928,Art Competitions,Female,28
1928,Art Competitions,Male,231
1928,Athletics,Female,69
1928,Athletics,Male,354
1928,Bobsleigh,Female,0
1928,Bobsleigh,Male,44
1928,Boxing,Female,0
1928,Boxing,Male,68
1928,Cross Country Skiing,Female,0
1928,Cross Country Skiing,Male,23
1928,Cycling,Female,0
1928,Cycling,Male,72
1928,Diving,Female,18
1928,Diving,Male,26
1928,Fencing,Female,16
1928,Fencing,Male,110
1928,Figure Skating,Female,14
1928,Figure Skating,Male,12
1928,Football,Female,0
1928,Football,Male,66
1928,Gymnastics,Female,44
1928,Gymnastics,Male,40
1928,Hockey,Female,0
1928,Hockey,Male,44
1928,Ice Hockey,Female,0
1928,Ice Hockey,Male,65
1928,Rowing,Female,0
1928,Rowing,Male,156
1928,Sailing,Female,1
1928,Sailing,Male,72
1928,Ski Jumping,Female,0
1928,Ski Jumping,Male,13
1928,Speed Skating,Female,0
1928,Speed Skating,Male,17
1928,Swimming,Female,47
1928,Swimming,Male,74
1928,Water Polo,Female,0
1928,Water Polo,Male,44
1928,Weightlifting,Female,0
1928,Weightlifting,Male,33
1928,Wrestling,Female,0
1928,Wrestling,Male,57
1932,Art Competitions,Female,59
1932,Art Competitions,Male,376
1932,Athletics,Female,51
1932,Athletics,Male,199
1932,Bobsleigh,Female,0
1932,Bobsleigh,Male,25
1932,Boxing,Female,0
1932,Boxing,Male,44
1932,Cross Country Skiing,Female,0
1932,Cross Country Skiing,Male,30
1932,Cycling,Female,0
1932,Cycling,Male,48
1932,Diving,Female,9
1932,Diving,Male,10
1932,Fencing,Female,10
1932,Fencing,Male,52
1932,Figure Skating,Female,17
1932,Figure Skating,Male,14
1932,Gymnastics,Female,0
1932,Gymnastics,Male,37
1932,Hockey,Female,0
1932,Hockey,Male,25
1932,Ice Hockey,Female,0
1932,Ice Hockey,Male,48
1932,Rowing,Female,0
1932,Rowing,Male,116
1932,Sailing,Female,0
1932,Sailing,Male,48
1932,Shooting,Female,0
1932,Shooting,Male,24
1932,Ski Jumping,Female,0
1932,Ski Jumping,Male,12
1932,Speed Skating,Female,0
1932,Speed Skating,Male,24
1932,Swimming,Female,39
1932,Swimming,Male,59
1932,Water Polo,Female,0
1932,Water Polo,Male,33
1932,Weightlifting,Female,0
1932,Weightlifting,Male,18
1932,Wrestling,Female,0
1932,Wrestling,Male,52
1936,Alpine Skiing,Female,23
1936,Alpine Skiing,Male,21
1936,Art Competitions,Female,22
1936,Art Competitions,Male,339
1936,Athletics,Female,72
1936,Athletics,Male,364
1936,Basketball,Female,0
1936,Basketball,Male,77
1936,Bobsleigh,Female,0
1936,Bobsleigh,Male,37
1936,Boxing,Female,0
1936,Boxing,Male,71
1936,Canoeing,Female,0
1936,Canoeing,Male,61
1936,Cross Country Skiing,Female,0
1936,Cross Country Skiing,Male,36
1936,Cycling,Female,0
1936,Cycling,Male,78
1936,Diving,Female,21
1936,Diving,Male,23
1936,Fencing,Female,17
1936,Fencing,Male,114
1936,Figure Skating,Female,23
1936,Figure Skating,Male,25
1936,Football,Female,0
1936,Football,Male,118
1936,Gymnastics,Female,48
1936,Gymnastics,Male,40
1936,Handball,Female,0
1936,Handball,Male,51
1936,Hockey,Female,0
1936,Hockey,Male,74
1936,Ice Hockey,Female,0
1936,Ice Hockey,Male,104
1936,Rowing,Female,0
1936,Rowing,Male,180
1936,Sailing,Female,3
1936,Sailing,Male,88
1936,Shooting,Female,0
1936,Shooting,Male,49
1936,Ski Jumping,Female,0
1936,Ski Jumping,Male,19
1936,Speed Skating,Female,0
1936,Speed Skating,Male,24
1936,Swimming,Female,66
1936,Swimming,Male,82
1936,Water Polo,Female,0
1936,Water Polo,Male,68
1936,Weightlifting,Female,0
1936,Weightlifting,Male,36
1936,Wrestling,Female,0
1936,Wrestling,Male,79
1948,Alpine Skiing,Female,17
1948,Alpine Skiing,Male,44
1948,Art Competitions,Female,34
1948,Art Competitions,Male,152
1948,Athletics,Female,74
1948,Athletics,Male,252
1948,Basketball,Female,0
1948,Basketball,Male,77
1948,Bobsleigh,Female,0
1948,Bobsleigh,Male,31
1948,Boxing,Female,0
1948,Boxing,Male,68
1948,Canoeing,Female,4
1948,Canoeing,Male,42
1948,Cross Country Skiing,Female,0
1948,Cross Country Skiing,Male,20
1948,Cycling,Female,0
1948,Cycling,Male,57
1948,Diving,Female,14
1948,Diving,Male,12
1948,Fencing,Female,17
1948,Fencing,Male,89
1948,Figure Skating,Female,18
1948,Figure Skating,Male,12
1948,Football,Female,0
1948,Football,Male,77
1948,Gymnastics,Female,48
1948,Gymnastics,Male,32
1948,Hockey,Female,0
1948,Hockey,Male,52
1948,Ice Hockey,Female,0
1948,Ice Hockey,Male,90
1948,Rowing,Female,0
1948,Rowing,Male,116
1948,Sailing,Female,0
1948,Sailing,Male,74
1948,Shooting,Female,0
1948,Shooting,Male,61
1948,Ski Jumping,Female,0
1948,Ski Jumping,Male,16
1948,Speed Skating,Female,0
1948,Speed Skating,Male,37
1948,Swimming,Female,48
1948,Swimming,Male,65
1948,Water Polo,Female,0
1948,Water Polo,Male,72
1948,Weightlifting,Female,0
1948,Weightlifting,Male,39
1948,Wrestling,Female,0
1948,Wrestling,Male,76
1952,Alpine Skiing,Female,31
1952,Alpine Skiing,Male,50
1952,Athletics,Female,87
1952,Athletics,Male,299
1952,Basketball,Female,0
1952,Basketball,Male,52
1952,Bobsleigh,Female,0
1952,Bobsleigh,Male,32
1952,Boxing,Female,0
1952,Boxing,Male,85
1952,Canoeing,Female,5
1952,Canoeing,Male,65
1952,Cross Country Skiing,Female,7
1952,Cross Country Skiing,Male,35
1952,Cycling,Female,0
1952,Cycling,Male,69
1952,Diving,Female,14
1952,Diving,Male,20
1952,Fencing,Female,18
1952,Fencing,Male,95
1952,Figure Skating,Female,27
1952,Figure Skating,Male,18
1952,Football,Female,0
1952,Football,Male,101
1952,Gymnastics,Female,64
1952,Gymnastics,Male,59
1952,Hockey,Female,0
1952,Hockey,Male,68
