Year,Australia,Canada,China,France,Germany,Great Britain,Hungary,Italy,Japan,Netherlands,Poland,Russia,Spain,Sweden,United States
2000,183,31,79,66,118,54,53,65,44,79,24,187,42,32,242
2002,2,74,16,15,61,6,0,21,2,8,2,38,0,26,84
2004,157,17,94,53,149,57,40,104,93,77,12,189,30,12,263
2006,2,69,13,15,54,1,0,25,1,13,2,41,0,64,52
2008,149,35,184,77,99,77,27,43,51,61,20,146,70,7,317
2010,3,90,19,14,54,1,0,5,7,11,8,25,0,18,97
2012,114,55,125,82,94,126,26,67,84,69,12,140,63,22,248
2014,3,86,12,18,36,10,0,14,11,29,11,68,0,51,64
2016,81,69,113,95,160,145,22,72,65,47,16,115,45,28,264
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
