Event,Country,SportType,NumberOfParticipations
Summer,United States,Art Competitions,289
Summer,Germany,Art Competitions,227
Summer,Great Britain,Art Competitions,177
Summer,Netherlands,Art Competitions,144
Summer,Italy,Art Competitions,125
Summer,Japan,Art Competitions,108
Summer,Poland,Art Competitions,104
Summer,Sweden,Art Competitions,57
Summer,Canada,Art Competitions,28
Summer,Hungary,Art Competitions,28
Summer,China,Art Competitions,5
Summer,Russia,Art Competitions,4
Summer,Spain,Art Competitions,3
Summer,Australia,Art Competitions,2
Summer,United States,Athletics,2527
Summer,Great Britain,Athletics,1719
Summer,Germany,Athletics,1629
Summer,Italy,Athletics,817
Summer,Canada,Athletics,805
Summer,Australia,Athletics,729
Summer,Sweden,Athletics,692
Summer,Poland,Athletics,682
Summer,Japan,Athletics,618
Summer,Hungary,Athletics,560
Summer,Spain,Athletics,557
Summer,Russia,Athletics,544
Summer,China,Athletics,405
Summer,Netherlands,Athletics,356
Summer,China,Badminton,119
Summer,Japan,Badminton,68
Summer,Great Britain,Badminton,64
Summer,Germany,Badminton,40
Summer,Australia,Badminton,39
Summer,Canada,Badminton,36
Summer,Sweden,Badminton,30
Summer,Poland,Badminton,29
Summer,United States,Badminton,27
Summer,Netherlands,Badminton,24
Summer,Russia,Badminton,22
Summer,Spain,Badminton,10
Summer,Hungary,Badminton,5
Summer,Italy,Badminton,3
Summer,Japan,Baseball,112
Summer,Netherlands,Baseball,92
Summer,Italy,Baseball,88
Summer,United States,Baseball,88
Summer,Australia,Baseball,68
Summer,Canada,Baseball,48
Summer,China,Baseball,24
Summer,Spain,Baseball,20
Summer,United States,Basketball,341
Summer,Australia,Basketball,262
Summer,China,Basketball,223
Summer,Spain,Basketball,191
Summer,Italy,Basketball,184
Summer,Canada,Basketball,178
Summer,Japan,Basketball,115
Summer,Russia,Basketball,94
Summer,Poland,Basketball,82
Summer,Hungary,Basketball,61
Summer,Germany,Basketball,58
Summer,Great Britain,Basketball,37
Summer,Sweden,Basketball,12
Summer,United States,Boxing,248
Summer,Great Britain,Boxing,223
Summer,Germany,Boxing,190
Summer,Italy,Boxing,175
Summer,Canada,Boxing,141
Summer,Poland,Boxing,137
Summer,Australia,Boxing,125
Summer,Hungary,Boxing,110
Summer,Japan,Boxing,77
Summer,Sweden,Boxing,77
Summer,Spain,Boxing,72
Summer,Netherlands,Boxing,65
Summer,Russia,Boxing,64
Summer,China,Boxing,50
Summer,Germany,Canoeing,366
Summer,United States,Canoeing,251
Summer,Canada,Canoeing,215
Summer,Hungary,Canoeing,215
Summer,Poland,Canoeing,214
Summer,Great Britain,Canoeing,201
Summer,Australia,Canoeing,181
Summer,Sweden,Canoeing,162
Summer,Italy,Canoeing,136
Summer,Spain,Canoeing,134
Summer,China,Canoeing,76
Summer,Japan,Canoeing,73
Summer,Russia,Canoeing,69
Summer,Netherlands,Canoeing,62
Summer,Great Britain,Cycling,419
Summer,Germany,Cycling,400
Summer,United States,Cycling,361
Summer,Italy,Cycling,348
Summer,Netherlands,Cycling,310
Summer,Australia,Cycling,302
Summer,Canada,Cycling,201
Summer,Poland,Cycling,174
Summer,Spain,Cycling,173
Summer,Sweden,Cycling,149
Summer,Japan,Cycling,129
Summer,Russia,Cycling,118
Summer,China,Cycling,76
Summer,Hungary,Cycling,76
Summer,United States,Diving,203
Summer,Germany,Diving,169
Summer,Great Britain,Diving,164
Summer,Sweden,Diving,118
Summer,Canada,Diving,98
Summer,Australia,Diving,88
Summer,China,Diving,71
Summer,Italy,Diving,69
Summer,Japan,Diving,59
Summer,Russia,Diving,41
Summer,Spain,Diving,35
Summer,Hungary,Diving,29
Summer,Netherlands,Diving,25
Summer,Poland,Diving,13
Summer,Italy,Fencing,439
Summer,United States,Fencing,411
Summer,Hungary,Fencing,365
