Year,Country,Code,Gold,Silver,Bronze,Total,,,,,,,,,,,,
1900,France,FRA,52,101,82,235,,,,,,,,,,,,
1900,Great Britain,GBR,59,34,15,108,,,,,,,,,,,,
1900,United States,USA,30,16,17,63,,,,,,,,,,,,
1900,Germany,DEU,14,20,11,45,,,,,,,,,,,,
1900,Netherlands,NED,3,8,16,27,,,,,,,,,,,,
1900,Australia,AUS,3,0,3,6,,,,,,,,,,,,
1900,Italy,ITA,3,2,0,5,,,,,,,,,,,,
1900,Hungary,HUN,1,2,2,5,,,,,,,,,,,,
1900,Sweden,SWE,3,0,1,4,,,,,,,,,,,,
1900,Canada,CAN,1,0,1,2,,,,,,,,,,,,
1900,Spain,ESP,2,0,0,2,,,,,,,,,,,,
1900,Russia,RUS,0,0,0,0,,,,,,,,,,,,
1904,United States,USA,128,141,125,394,,,,,,,,,,,,
1904,Canada,CAN,27,9,12,48,,,,,,,,,,,,
1904,Germany,DEU,4,5,7,16,,,,,,,,,,,,
1904,Australia,AUS,0,3,1,4,,,,,,,,,,,,
1904,Hungary,HUN,2,1,1,4,,,,,,,,,,,,
1904,Great Britain,GBR,1,1,0,2,,,,,,,,,,,,
1904,France,FRA,0,2,0,2,,,,,,,,,,,,
1904,Italy,ITA,0,0,0,0,,,,,,,,,,,,
1906,France,FRA,20,16,28,64,,,,,,,,,,,,
1906,Italy,ITA,21,8,27,56,,,,,,,,,,,,
1906,Great Britain,GBR,9,22,8,39,,,,,,,,,,,,
1906,Germany,DEU,14,10,6,30,,,,,,,,,,,,
1906,United States,USA,12,6,6,24,,,,,,,,,,,,
1906,Sweden,SWE,2,5,14,21,,,,,,,,,,,,
1906,Hungary,HUN,5,5,3,13,,,,,,,,,,,,
1906,Netherlands,NED,0,1,5,6,,,,,,,,,,,,
1906,Australia,AUS,0,0,3,3,,,,,,,,,,,,
1906,Canada,CAN,1,1,0,2,,,,,,,,,,,,
1908,Great Britain,GBR,147,131,90,368,,,,,,,,,,,,
