Country,Gender,Gold,Silver,Bronze,Total
Australia,Female,149,144,125,418
Australia,Male,140,238,284,662
Canada,Female,109,80,87,276
Canada,Male,201,197,169,567
China,Female,125,126,121,372
China,Male,88,60,34,182
France,Female,30,48,40,118
France,Male,292,329,381,1002
Germany,Female,308,293,272,873
Germany,Male,538,505,545,1588
Great Britain,Female,68,88,124,280
Great Britain,Male,364,381,323,1068
Hungary,Female,57,90,95,242
Hungary,Male,260,169,186,615
Italy,Female,50,45,45,140
Italy,Male,397,350,294,1041
Japan,Female,30,32,50,112
Japan,Male,104,122,109,335
Netherlands,Female,118,114,120,352
Netherlands,Male,92,139,164,395
Poland,Female,16,22,60,98
Poland,Male,46,86,104,236
Russia,Female,92,131,96,319
Russia,Male,80,112,181,373
Spain,Female,24,34,21,79
Spain,Male,41,126,90,257
Sweden,Female,29,59,57,145
Sweden,Male,286,283,263,832
United States,Female,592,413,300,1305
United States,Male,1297,768,578,2643
