Year,Country,SubRegion,NumberOfParticipants,NumberPrevOlympic,RankPerYear
1924,Argentina,South America,77,0,14
1928,Argentina,South America,81,77,13
1948,Argentina,South America,199,81,5
1952,Argentina,South America,123,199,14
1908,Australasia,Southern Asia,30,0,14
1904,Australia,Australia and New Zealand,2,0,9
1956,Australia,Australia and New Zealand,294,2,2
1960,Australia,Australia and New Zealand,189,294,7
1964,Australia,Australia and New Zealand,243,189,5
1968,Australia,Australia and New Zealand,128,243,13
1972,Australia,Australia and New Zealand,168,128,14
1976,Australia,Australia and New Zealand,180,168,11
1980,Australia,Australia and New Zealand,120,180,15
1984,Australia,Australia and New Zealand,242,120,6
1988,Australia,Australia and New Zealand,252,242,12
1992,Australia,Australia and New Zealand,279,252,9
1996,Australia,Australia and New Zealand,417,279,3
2000,Australia,Australia and New Zealand,617,417,1
2004,Australia,Australia and New Zealand,470,617,2
2008,Australia,Australia and New Zealand,432,470,4
2012,Australia,Australia and New Zealand,404,432,4
1900,Austria,Western Europe,16,0,10
1904,Austria,Western Europe,2,16,10
1906,Austria,Western Europe,31,2,11
1912,Austria,Western Europe,85,31,11
1928,Austria,Western Europe,73,85,15
1936,Austria,Western Europe,234,73,4
1948,Austria,Western Europe,147,234,11
1956,Austria,Western Europe,60,147,15
1994,Austria,Western Europe,80,60,9
1998,Austria,Western Europe,96,80,9
2002,Austria,Western Europe,90,96,11
2006,Austria,Western Europe,73,90,12
2010,Austria,Western Europe,75,73,14
2014,Austria,Western Europe,126,75,6
1998,Belarus,Eastern Europe,59,0,15
1900,Belgium,Western Europe,64,59,5
1906,Belgium,Western Europe,16,64,12
1908,Belgium,Western Europe,70,16,9
1912,Belgium,Western Europe,36,70,15
1924,Belgium,Western Europe,172,36,6
1928,Belgium,Western Europe,187,172,6
1936,Belgium,Western Europe,150,187,13
1948,Belgium,Western Europe,152,150,9
1952,Belgium,Western Europe,135,152,11
1900,Bohemia,Central Europe,7,0,14
1906,Bohemia,Central Europe,13,7,14
1912,Bohemia,Central Europe,43,13,13
1932,Brazil,South America,59,0,10
1984,Brazil,South America,147,59,13
1996,Brazil,South America,221,147,15
2004,Brazil,South America,243,221,14
2008,Brazil,South America,268,243,12
2012,Brazil,South America,248,268,13
1976,Bulgaria,Eastern Europe,158,0,14
1980,Bulgaria,Eastern Europe,271,158,4
1904,Canada,Northern America,56,0,2
1908,Canada,Northern America,87,56,6
1912,Canada,Northern America,37,87,14
1920,Canada,Northern America,52,37,13
1924,Canada,Northern America,65,52,15
1932,Canada,Northern America,102,65,7
1948,Canada,Northern America,127,102,14
1956,Canada,Northern America,92,127,10
1964,Canada,Northern America,115,92,14
1968,Canada,Northern America,139,115,12
1972,Canada,Northern America,208,139,10
1976,Canada,Northern America,385,208,3
1984,Canada,Northern America,408,385,2
1988,Canada,Northern America,328,408,6
1992,Canada,Northern America,295,328,8
1994,Canada,Northern America,95,295,6
1996,Canada,Northern America,304,95,7
1998,Canada,Northern America,144,304,3
2000,Canada,Northern America,294,144,9
2002,Canada,Northern America,150,294,4
2004,Canada,Northern America,263,150,13
2006,Canada,Northern America,191,263,2
2008,Canada,Northern America,332,191,7
2010,Canada,Northern America,201,332,2
